Last login: Mon May  6 19:31:25 on ttys002
vos-MacBook-Air:~ voduc$ ps -e
  PID TTY           TIME CMD
    1 ??         5:00.82 /sbin/launchd
   41 ??         0:06.66 /usr/libexec/UserEventAgent (System)
   44 ??         0:02.89 /System/Library/PrivateFrameworks/Uninstall.framework/
   45 ??         0:32.40 /usr/libexec/kextd
   46 ??         2:29.20 /System/Library/Frameworks/CoreServices.framework/Vers
   48 ??         0:21.35 /System/Library/PrivateFrameworks/MediaRemote.framewor
   51 ??         0:01.55 /System/Library/CoreServices/appleeventsd --server
   52 ??         1:18.57 /usr/sbin/systemstats --daemon
   54 ??         0:34.59 /usr/libexec/configd
   55 ??         1:14.36 /System/Library/CoreServices/powerd.bundle/powerd
   58 ??         1:15.39 /usr/libexec/logd
   65 ??         4:04.65 /System/Library/Frameworks/CoreServices.framework/Fram
   66 ??         0:00.88 /System/Library/CoreServices/iconservicesd
   67 ??         0:16.22 /usr/libexec/diskarbitrationd
   70 ??         0:01.51 /System/Library/CoreServices/backupd.bundle/Contents/R
   71 ??         0:18.04 /usr/libexec/coreduetd
   75 ??         1:12.22 /usr/libexec/opendirectoryd
   76 ??         0:12.28 /System/Library/PrivateFrameworks/ApplePushService.fra
   77 ??         0:00.48 /System/Library/PrivateFrameworks/Noticeboard.framewor
   78 ??         2:34.78 /System/Library/CoreServices/launchservicesd
   79 ??         0:03.47 /usr/libexec/timed
   80 ??         0:20.51 /usr/sbin/securityd -i
   83 ??         0:48.37 /usr/libexec/locationd
   84 ??         0:00.04 autofsd
   85 ??         0:00.74 /usr/libexec/displaypolicyd -k 1
   87 ??         0:22.33 /usr/libexec/dasd
   88 ??         0:00.69 /System/Library/PrivateFrameworks/Heimdal.framework/He
   92 ??         7:02.69 /usr/local/mysql/bin/mysqld --user=_mysql --basedir=/u
   93 ??         0:56.27 /System/Library/CoreServices/loginwindow.app/Contents/
   94 ??         0:00.19 /System/Library/CoreServices/logind
   95 ??         0:00.55 /System/Library/PrivateFrameworks/GenerationalStorage.
   96 ??         0:00.03 /usr/sbin/KernelEventAgent
   98 ??         0:22.01 /usr/sbin/bluetoothd
   99 ??        14:48.33 /usr/libexec/hidd
  101 ??         0:12.97 /usr/libexec/corebrightnessd --launchd
  102 ??         0:10.64 /usr/libexec/AirPlayXPCHelper
  103 ??         0:48.73 /usr/sbin/notifyd
  104 ??         0:05.72 /usr/sbin/distnoted daemon
  105 ??         0:32.96 /usr/sbin/cfprefsd daemon
  107 ??         0:03.09 /System/Library/Frameworks/Security.framework/Versions
  108 ??         0:04.79 /usr/libexec/amfid
  110 ??         0:25.24 /System/Library/CoreServices/coreservicesd
  121 ??         0:34.52 /System/Library/PrivateFrameworks/CoreDuetContext.fram
  128 ??         0:03.33 /usr/libexec/lsd runAsRoot
  131 ??         0:00.03 /System/Library/Frameworks/PCSC.framework/Versions/A/X
  135 ??         0:32.24 /usr/libexec/trustd
  138 ??         0:00.05 /System/Library/Frameworks/CryptoTokenKit.framework/ct
  142 ??         0:01.67 /usr/libexec/nehelper
  143 ??        15:35.86 /usr/sbin/coreaudiod
  148 ??         0:11.43 /usr/libexec/mobileassetd
  161 ??         0:05.21 /usr/libexec/nsurlsessiond --privileged
  162 ??         0:36.52 /usr/sbin/mDNSResponder
  163 ??         0:02.17 /usr/libexec/syspolicyd
  164 ??         0:47.59 /usr/libexec/symptomsd
  165 ??         0:11.76 /System/Library/PrivateFrameworks/WirelessDiagnostics.
  166 ??         0:04.22 /usr/sbin/mDNSResponderHelper
  192 ??         0:00.09 /System/Library/CryptoTokenKit/com.apple.ifdreader.slo
  193 ??         0:00.20 /usr/libexec/apfsd
  196 ??         0:02.21 /usr/libexec/usbd
